اسم المنتج,الوصف,سعر البيع,سعر التخفيض,SKU,الكمية,التصنيف,صورة المنتج (رابط),يتطلب شحن
رقعة ميدان شطارة من خشب الماهوجني الطبيعي,"رقعة ميدان شطارة مصنوعة من خشب الماهوجني الطبيعي الفاخر. شطارة لعبة ذهنية استراتيجية مبتكرة، تعتمد على بناء القرار وإدارة القوة داخل بيئة لعب منضبطة.",349.99,249.99,sha-26-004-s2,100,ميدان شطارة,https://shatara.sa/assets/images/product-sha-26-004-s2.png,نعم
حقيبة رقعة ميدان شطارة مطوية,"حقيبة رقعة ميدان شطارة مطوية، سهلة الحمل والتخزين. شطارة لعبة ذهنية استراتيجية مبتكرة، تعتمد على بناء القرار وإدارة القوة داخل بيئة لعب منضبطة.",349.99,249.99,sha-26-001-s1,100,ميدان شطارة,https://shatara.sa/assets/images/product-sha-26-001-s1.jpg,نعم
