بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,رقعة ميدان شطارة من خشب الماهوجني الطبيعي,ميدان شطارة,https://shatara.sa/assets/images/product-sha-26-004-s2.png,رقعة ميدان شطارة من خشب الماهوجني الطبيعي,منتج جاهز,349.99,رقعة ميدان شطارة مصنوعة من خشب الماهوجني الطبيعي الفاخر. شطارة لعبة ذهنية استراتيجية مبتكرة، تعتمد على بناء القرار وإدارة القوة داخل بيئة لعب منضبطة,نعم,sha-26-004-s2,,249.99,2026-07-22,2027-12-31,0,لا,لا,1,kg,,,نعم,,,,,نعم,,,,,,,,,,,,,
منتج,حقيبة رقعة ميدان شطارة مطوية,ميدان شطارة,https://shatara.sa/assets/images/product-sha-26-001-s1.jpg,حقيبة رقعة ميدان شطارة مطوية,منتج جاهز,349.99,حقيبة رقعة ميدان شطارة مطوية، سهلة الحمل والتخزين. شطارة لعبة ذهنية استراتيجية مبتكرة، تعتمد على بناء القرار وإدارة القوة داخل بيئة لعب منضبطة,نعم,sha-26-001-s1,,249.99,2026-07-22,2027-12-31,0,لا,لا,1,kg,,,نعم,,,,,نعم,,,,,,,,,,,,,
